,baseline,darkline,nmscale,p1
0,0.0,3919.0,320.0,3921
1,0.0,3915.0,320.1329542377471,3918
2,0.0,3916.0,320.2659084754942,3917
3,0.0,3916.0,320.3988627132413,3918
4,0.0,3921.0,320.53181695098834,3923
5,0.0,3917.0,320.6647711887355,3920
6,0.0,3917.0,320.79772542648254,3919
7,0.0,3916.0,320.9306796642296,3920
8,0.0,3916.0,321.0636339019767,3919
9,0.0,3917.0,321.1965881397238,3920
10,0.0,3916.0,321.3295423774709,3918
11,0.0,3916.0,321.46249661521796,3919
12,0.0,3915.0,321.5954508529651,3918
13,0.0,3917.0,321.72840509071216,3919
14,0.0,3916.0,321.86135932845923,3918
15,0.0,3916.0,321.99431356620636,3919
16,0.0,3917.0,322.12726780395343,3918
17,0.0,3917.0,322.2602220417005,3919
18,0.0,3916.0,322.39317627944763,3918
19,0.0,3917.0,322.5261305171947,3919
20,0.0,3917.0,322.6590847549418,3918
21,0.0,3917.0,322.79203899268884,3920
22,0.0,3917.0,322.924993230436,3919
23,0.0,3917.0,323.05794746818304,3919
24,0.0,3916.0,323.1909017059301,3917
25,0.0,3917.0,323.32385594367724,3919
26,0.0,3916.0,323.4568101814243,3922
27,0.0,3917.0,323.5897644191714,3918
28,0.0,3916.0,323.7227186569185,3918
29,0.0,3918.0,323.8556728946656,3919
30,0.0,3915.0,323.98862713241266,3918
31,0.0,3917.0,324.1215813701598,3919
32,0.0,3915.0,324.25453560790686,3915
33,0.0,3917.0,324.38748984565393,3915
34,0.0,3917.0,324.520444083401,3915
35,0.0,3917.0,324.65339832114813,3916
36,0.0,3917.0,324.7863525588952,3915
37,0.0,3917.0,324.9193067966423,3914
38,0.0,3917.0,325.0522610343894,3913
39,0.0,3917.0,325.1852152721365,3914
40,0.0,3915.0,325.31816950988355,3914
41,0.0,3917.0,325.4511237476307,3915
42,0.0,3918.0,325.58407798537775,3914
43,0.0,3917.0,325.7170322231248,3914
44,0.0,3916.0,325.84998646087195,3914
45,0.0,3917.0,325.982940698619,3915
46,0.0,3918.0,326.1158949363661,3914
47,0.0,3917.0,326.24884917411316,3915
48,0.0,3916.0,326.3818034118603,3914
49,0.0,3917.0,326.51475764960736,3915
50,0.0,3917.0,326.64771188735443,3913
51,0.0,3918.0,326.78066612510156,3917
52,0.0,3915.0,326.91362036284863,3912
53,0.0,3916.0,327.0465746005957,3915
54,0.0,3917.0,327.17952883834283,3914
55,0.0,3918.0,327.3124830760899,3915
56,0.0,3916.0,327.445437313837,3913
57,0.0,3916.0,327.5783915515841,3915
58,0.0,3916.0,327.7113457893312,3915
59,0.0,3917.0,327.84430002707825,3915
60,0.0,3915.0,327.9772542648253,3914
61,0.0,3917.0,328.11020850257245,3915
62,0.0,3916.0,328.2431627403195,3913
63,0.0,3916.0,328.3761169780666,3916
64,0.0,3917.0,328.5090712158137,3914
65,0.0,3916.0,328.6420254535608,3914
66,0.0,3916.0,328.77497969130786,3913
67,0.0,3917.0,328.907933929055,3915
68,0.0,3916.0,329.04088816680206,3914
69,0.0,3917.0,329.17384240454913,3914
70,0.0,3916.0,329.30679664229626,3914
71,0.0,3917.0,329.43975088004333,3914
72,0.0,3916.0,329.5727051177904,3914
73,0.0,3917.0,329.7056593555375,3915
74,0.0,3916.0,329.8386135932846,3915
75,0.0,3917.0,329.9715678310317,3914
76,0.0,3916.0,330.10452206877875,3917
77,0.0,3917.0,330.2374763065259,3914
78,0.0,3915.0,330.37043054427295,3915
79,0.0,3916.0,330.50338478202,3915
80,0.0,3916.0,330.63633901976715,3914
81,0.0,3918.0,330.7692932575142,3914
82,0.0,3917.0,330.9022474952613,3914
83,0.0,3917.0,331.0352017330084,3913
84,0.0,3917.0,331.1681559707555,3913
85,0.0,3916.0,331.30111020850256,3914
86,0.0,3917.0,331.43406444624964,3915
87,0.0,3918.0,331.56701868399676,3915
88,0.0,3916.0,331.69997292174384,3913
89,0.0,3916.0,331.8329271594909,3915
90,0.0,3915.0,331.96588139723804,3915
91,0.0,3918.0,332.0988356349851,3916
92,0.0,3916.0,332.2317898727322,3914
93,0.0,3917.0,332.3647441104793,3914
94,0.0,3916.0,332.4976983482264,3914
95,0.0,3916.0,332.63065258597345,3915
96,0.0,3916.0,332.7636068237206,3913
97,0.0,3917.0,332.89656106146765,3915
98,0.0,3916.0,333.0295152992147,3914
99,0.0,3918.0,333.1624695369618,3916
100,0.0,3915.0,333.2954237747089,3914
101,0.0,3919.0,333.428378012456,3917
102,0.0,3913.0,333.56133225020307,3911
103,0.0,3916.0,333.6942864879502,3915
104,0.0,3916.0,333.82724072569727,3914
105,0.0,3917.0,333.96019496344434,3915
106,0.0,3917.0,334.09314920119147,3914
107,0.0,3917.0,334.22610343893854,3916
108,0.0,3916.0,334.3590576766856,3914
109,0.0,3916.0,334.49201191443274,3915
110,0.0,3916.0,334.6249661521798,3913
111,0.0,3917.0,334.7579203899269,3915
112,0.0,3916.0,334.89087462767395,3914
113,0.0,3917.0,335.0238288654211,3916
114,0.0,3916.0,335.15678310316815,3912
115,0.0,3916.0,335.2897373409152,3915
116,0.0,3916.0,335.42269157866235,3914
117,0.0,3917.0,335.5556458164094,3915
118,0.0,3916.0,335.6886000541565,3914
119,0.0,3917.0,335.8215542919036,3915
120,0.0,3915.0,335.9545085296507,3913
121,0.0,3917.0,336.08746276739777,3915
122,0.0,3914.0,336.2204170051449,3914
123,0.0,3917.0,336.35337124289197,3915
124,0.0,3916.0,336.48632548063904,3914
125,0.0,3917.0,336.6192797183861,3916
126,0.0,3915.0,336.75223395613324,3916
127,0.0,3916.0,336.8851881938803,3913
128,0.0,3915.0,337.0181424316274,3913
129,0.0,3916.0,337.1510966693745,3914
130,0.0,3915.0,337.2840509071216,3914
131,0.0,3916.0,337.41700514486865,3914
132,0.0,3916.0,337.5499593826158,3914
133,0.0,3917.0,337.68291362036285,3916
134,0.0,3917.0,337.8158678581099,3914
135,0.0,3916.0,337.94882209585705,3915
136,0.0,3916.0,338.0817763336041,3914
137,0.0,3918.0,338.2147305713512,3916
138,0.0,3918.0,338.34768480909827,3915
139,0.0,3917.0,338.4806390468454,3917
140,0.0,3917.0,338.61359328459247,3913
141,0.0,3916.0,338.74654752233954,3914
142,0.0,3916.0,338.87950176008667,3914
143,0.0,3915.0,339.01245599783374,3915
144,0.0,3916.0,339.1454102355808,3913
145,0.0,3917.0,339.27836447332794,3913
146,0.0,3917.0,339.411318711075,3913
147,0.0,3916.0,339.5442729488221,3915
148,0.0,3915.0,339.6772271865692,3914
149,0.0,3918.0,339.8101814243163,3915
150,0.0,3916.0,339.94313566206336,3913
151,0.0,3919.0,340.0760898998104,3919
152,0.0,3914.0,340.20904413755756,3912
153,0.0,3917.0,340.3419983753046,3915
154,0.0,3916.0,340.4749526130517,3913
155,0.0,3917.0,340.6079068507988,3915
156,0.0,3915.0,340.7408610885459,3914
157,0.0,3917.0,340.87381532629297,3915
158,0.0,3915.0,341.0067695640401,3914
159,0.0,3917.0,341.13972380178717,3916
160,0.0,3916.0,341.27267803953424,3913
161,0.0,3917.0,341.40563227728137,3913
162,0.0,3916.0,341.53858651502844,3914
163,0.0,3916.0,341.6715407527755,3915
164,0.0,3916.0,341.8044949905226,3914
165,0.0,3917.0,341.9374492282697,3914
166,0.0,3916.0,342.0704034660168,3915
167,0.0,3916.0,342.20335770376386,3913
168,0.0,3916.0,342.336311941511,3914
169,0.0,3916.0,342.46926617925806,3914
170,0.0,3916.0,342.6022204170051,3914
171,0.0,3917.0,342.73517465475226,3914
172,0.0,3917.0,342.8681288924993,3915
173,0.0,3917.0,343.0010831302464,3915
174,0.0,3916.0,343.1340373679935,3913
175,0.0,3917.0,343.2669916057406,3915
176,0.0,3918.0,343.39994584348767,3916
177,0.0,3917.0,343.53290008123474,3913
178,0.0,3916.0,343.66585431898187,3913
179,0.0,3917.0,343.79880855672894,3914
180,0.0,3915.0,343.931762794476,3914
181,0.0,3917.0,344.06471703222314,3914
182,0.0,3915.0,344.1976712699702,3914
183,0.0,3917.0,344.3306255077173,3915
184,0.0,3917.0,344.4635797454644,3913
185,0.0,3918.0,344.5965339832115,3915
186,0.0,3916.0,344.72948822095856,3913
187,0.0,3916.0,344.8624424587057,3915
