,nmscale,darkline,baseline,p1
0,,3927.0,0.0,3928
1,730.6937326000001,3924.0,0.0,3925
2,730.7332521000001,3926.0,0.0,3925
3,730.7725588999999,3925.0,0.0,3924
4,730.8116531000001,3930.0,0.0,3930
5,730.8505347,3926.0,0.0,3924
6,730.8892041,3924.0,0.0,3926
7,730.9276614,3927.0,0.0,3926
8,730.9659067000001,3924.0,0.0,3923
9,731.0039402000001,3927.0,0.0,3925
10,731.0417622,3924.0,0.0,3925
11,731.0793725999999,3926.0,0.0,3925
12,731.1167717999999,3925.0,0.0,3926
13,731.1539598999999,3926.0,0.0,3926
14,731.1909371,3924.0,0.0,3925
15,731.2277034,3924.0,0.0,3923
16,731.2642592,3926.0,0.0,3927
17,731.3006046,3926.0,0.0,3924
18,731.3367397000001,3926.0,0.0,3922
19,731.3726647000001,3926.0,0.0,3924
20,731.4083797999999,3922.0,0.0,3924
21,731.4438851,3922.0,0.0,3925
22,731.4791809,3924.0,0.0,3922
23,731.5142672999999,3924.0,0.0,3926
24,731.5491443,3924.0,0.0,3926
25,731.5838123999999,3926.0,0.0,3927
26,731.6182715,3924.0,0.0,3924
27,731.6525219,3922.0,0.0,3925
28,731.6865637,3923.0,0.0,3922
29,731.7203971,3924.0,0.0,3925
30,731.7540222,3923.0,0.0,3923
31,731.7874393,3924.0,0.0,3924
32,731.8206485000001,3926.0,0.0,3921
33,731.85365,3924.0,0.0,3920
34,731.8864438999999,3924.0,0.0,3920
35,731.9190304,3926.0,0.0,3923
36,731.9514097,3927.0,0.0,3922
37,731.9835820000001,3926.0,0.0,3922
38,732.0155473,3922.0,0.0,3922
39,732.0473059,3924.0,0.0,3920
40,732.078858,3922.0,0.0,3920
41,732.1102037,3924.0,0.0,3920
42,732.1413431,3924.0,0.0,3922
43,732.1722766,3922.0,0.0,3921
44,732.2030041,3924.0,0.0,3920
45,732.2335259,3923.0,0.0,3922
46,732.2638421,3922.0,0.0,3924
47,732.293953,3922.0,0.0,3921
48,732.3238587000001,3922.0,0.0,3920
49,732.3535592999999,3927.0,0.0,3922
50,732.383055,3924.0,0.0,3922
51,732.412346,3927.0,0.0,3924
52,732.4414325,3926.0,0.0,3920
53,732.4703146,3925.0,0.0,3922
54,732.4989924,3923.0,0.0,3921
55,732.5274663,3923.0,0.0,3921
56,732.5557362000001,3922.0,0.0,3920
57,732.5838024,3925.0,0.0,3920
58,732.6116651000001,3925.0,0.0,3920
59,732.6393244,3924.0,0.0,3922
60,732.6667805,3926.0,0.0,3920
61,732.6940335,3924.0,0.0,3920
62,732.7210837,3924.0,0.0,3920
63,732.7479311000001,3926.0,0.0,3921
64,732.774576,3925.0,0.0,3920
65,732.8010184999999,3924.0,0.0,3920
66,732.8272587,3927.0,0.0,3920
