,nmscale,2,4,6,8,10,12,baseline,darkline,2_abs,4_abs,6_abs,8_abs,10_abs,12_abs,2_trans,4_trans,6_trans,8_trans,10_trans,12_trans
0,,3931,3928,3931,3922,3931,3928,0.0,3927.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,730.6937326000001,3925,3923,3925,3920,3924,3922,0.0,3924.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,730.7332521000001,3927,3925,3925,3920,3924,3922,0.0,3926.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,730.7725588999999,3926,3925,3925,3922,3924,3922,0.0,3925.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,730.8116531000001,3926,3925,3926,3924,3925,3928,0.0,3930.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,730.8505347,3924,3922,3925,3920,3927,3925,0.0,3926.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,730.8892041,3926,3926,3923,3920,3924,3922,0.0,3924.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,730.9276614,3926,3924,3922,3920,3922,3922,0.0,3927.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,730.9659067000001,3925,3922,3920,3920,3924,3922,0.0,3924.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,731.0039402000001,3924,3926,3923,3920,3922,3926,0.0,3927.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,731.0417622,3926,3924,3920,3916,3923,3922,0.0,3924.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,731.0793725999999,3926,3926,3924,3920,3923,3921,0.0,3926.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,731.1167717999999,3924,3922,3924,3920,3922,3920,0.0,3925.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,731.1539598999999,3926,3924,3923,3920,3922,3924,0.0,3926.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,731.1909371,3925,3924,3923,3920,3927,3923,0.0,3924.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,731.2277034,3926,3922,3923,3920,3924,3924,0.0,3924.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,731.2642592,3926,3923,3925,3920,3923,3921,0.0,3926.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,731.3006046,3925,3926,3927,3920,3925,3922,0.0,3926.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,731.3367397000001,3925,3922,3921,3922,3921,3923,0.0,3926.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,731.3726647000001,3926,3924,3926,3920,3924,3922,0.0,3926.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,731.4083797999999,3925,3924,3922,3920,3920,3922,0.0,3922.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,731.4438851,3926,3922,3924,3920,3923,3925,0.0,3922.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,731.4791809,3924,3922,3922,3920,3922,3922,0.0,3924.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,731.5142672999999,3922,3926,3924,3920,3924,3922,0.0,3924.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,731.5491443,3925,3924,3923,3920,3923,3924,0.0,3924.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,731.5838123999999,3926,3924,3924,3920,3920,3922,0.0,3926.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,731.6182715,3926,3922,3922,3922,3920,3924,0.0,3924.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,731.6525219,3926,3924,3924,3922,3920,3920,0.0,3922.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,731.6865637,3927,3922,3920,3920,3920,3922,0.0,3923.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,731.7203971,3924,3926,3924,3922,3924,3927,0.0,3924.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,731.7540222,3925,3920,3923,3922,3922,3923,0.0,3923.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,731.7874393,3924,3923,3924,3921,3920,3924,0.0,3924.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,731.8206485000001,3924,3921,3922,3920,3920,3922,0.0,3926.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,731.85365,3924,3922,3920,3915,3921,3920,0.0,3924.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,731.8864438999999,3922,3920,3920,3913,3920,3916,0.0,3924.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,731.9190304,3920,3920,3923,3920,3920,3920,0.0,3926.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,731.9514097,3921,3920,3920,3914,3920,3920,0.0,3927.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
